CIDADE,QTD,NM_MUNICIPIO,QT_VOTOS,SCORE_OPORTUNIDADE,SCORE_DENTISTAS,SCORE_VOTOS_PL,SCORE_ROI,SCORE_FINAL,TIER,EXPLICACAO,CIDADE_NORM,mesorregiao-nome_x,regiao-intermediaria-nome,DELEGACIA_CRO,mesorregiao-nome_y,microrregiao-nome
SÃO JOÃO DO PARAÍSO,87.0,SÃO JOÃO DO PARAÍSO,12516,544.446,7.93,7.94,10.0,8.45,A,"Dentistas: 87 → score 7.93 | Votos PL/Nikolas: 12,516 → score 7.94 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",SÃO JOÃO DO PARAÍSO,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Salinas
CARMÓPOLIS DE MINAS,94.0,CARMÓPOLIS DE MINAS,11583,544.401,8.13,7.71,10.0,8.45,A,"Dentistas: 94 → score 8.13 | Votos PL/Nikolas: 11,583 → score 7.71 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CARMÓPOLIS DE MINAS,Oeste de Minas,Divinópolis,Divinópolis,Oeste de Minas,Oliveira
CAMPINA VERDE,99.0,CAMPINA VERDE,10968,542.916,8.2,7.54,10.0,8.42,B,"Dentistas: 99 → score 8.2 | Votos PL/Nikolas: 10,968 → score 7.54 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CAMPINA VERDE,Triângulo Mineiro/Alto Paranaíba,Uberlândia,Uberlândia,Triângulo Mineiro/Alto Paranaíba,Frutal
CARMO DO RIO CLARO,88.0,CARMO DO RIO CLARO,12317,541.948,8.0,7.9,10.0,8.46,A,"Dentistas: 88 → score 8.0 | Votos PL/Nikolas: 12,317 → score 7.9 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CARMO DO RIO CLARO,Sul/Sudoeste de Minas,Varginha,Alfenas,Sul/Sudoeste de Minas,Alfenas
PARAISÓPOLIS,84.0,PARAISÓPOLIS,12854,539.8679999999999,7.87,7.98,10.0,8.44,B,"Dentistas: 84 → score 7.87 | Votos PL/Nikolas: 12,854 → score 7.98 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",PARAISÓPOLIS,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,Itajubá
PEDRA AZUL,88.0,PEDRA AZUL,12268,539.792,8.0,7.89,10.0,8.46,A,"Dentistas: 88 → score 8.0 | Votos PL/Nikolas: 12,268 → score 7.89 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",PEDRA AZUL,Jequitinhonha,Teófilo Otoni,Teófilo Otoni,Jequitinhonha,Pedra Azul
RIO POMBA,95.0,RIO POMBA,11286,536.085,8.15,7.64,10.0,8.43,B,"Dentistas: 95 → score 8.15 | Votos PL/Nikolas: 11,286 → score 7.64 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",RIO POMBA,Zona da Mata,Juíz de Fora,Muriaé,Zona da Mata,Ubá
BELO ORIENTE,72.0,BELO ORIENTE,14862,535.032,7.59,8.33,10.0,8.45,A,"Dentistas: 72 → score 7.59 | Votos PL/Nikolas: 14,862 → score 8.33 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",BELO ORIENTE,Vale do Rio Doce,Ipatinga,Ipatinga,Vale do Rio Doce,Ipatinga
LAMBARI,80.0,LAMBARI,13279,531.16,7.77,8.07,10.0,8.43,B,"Dentistas: 80 → score 7.77 | Votos PL/Nikolas: 13,279 → score 8.07 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",LAMBARI,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,São Lourenço
BURITIS,75.0,BURITIS,14154,530.775,7.67,8.21,10.0,8.44,B,"Dentistas: 75 → score 7.67 | Votos PL/Nikolas: 14,154 → score 8.21 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",BURITIS,Noroeste de Minas,Patos de Minas,Patos de Minas,Noroeste de Minas,Unaí
POÇO FUNDO,101.0,POÇO FUNDO,10417,526.0585,8.25,7.46,10.0,8.41,B,"Dentistas: 101 → score 8.25 | Votos PL/Nikolas: 10,417 → score 7.46 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",POÇO FUNDO,Sul/Sudoeste de Minas,Varginha,Alfenas,Sul/Sudoeste de Minas,Alfenas
PRESIDENTE OLEGÁRIO,86.0,PRESIDENTE OLEGÁRIO,11974,514.8820000000001,7.9,7.81,10.0,8.39,B,"Dentistas: 86 → score 7.9 | Votos PL/Nikolas: 11,974 → score 7.81 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",PRESIDENTE OLEGÁRIO,Noroeste de Minas,Patos de Minas,Patos de Minas,Noroeste de Minas,Paracatu
ITAOBIM,88.0,ITAOBIM,11674,513.656,8.0,7.75,10.0,8.41,B,"Dentistas: 88 → score 8.0 | Votos PL/Nikolas: 11,674 → score 7.75 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ITAOBIM,Jequitinhonha,Teófilo Otoni,Teófilo Otoni,Jequitinhonha,Pedra Azul
SERRO,88.0,SERRO,11668,513.3919999999999,8.0,7.74,10.0,8.41,B,"Dentistas: 88 → score 8.0 | Votos PL/Nikolas: 11,668 → score 7.74 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",SERRO,Metropolitana de Belo Horizonte,Teófilo Otoni,Teófilo Otoni,Metropolitana de Belo Horizonte,Conceição do Mato Dentro
LAJINHA,83.0,LAJINHA,12215,506.9225,7.83,7.85,10.0,8.38,B,"Dentistas: 83 → score 7.83 | Votos PL/Nikolas: 12,215 → score 7.85 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",LAJINHA,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Manhuaçu
MATIPÓ,89.0,MATIPÓ,11388,506.766,8.05,7.67,10.0,8.4,B,"Dentistas: 89 → score 8.05 | Votos PL/Nikolas: 11,388 → score 7.67 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",MATIPÓ,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Manhuaçu
IBIÁ,79.0,IBIÁ,12651,499.7145,7.75,7.96,10.0,8.39,B,"Dentistas: 79 → score 7.75 | Votos PL/Nikolas: 12,651 → score 7.96 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",IBIÁ,Triângulo Mineiro/Alto Paranaíba,Uberaba,Uberaba,Triângulo Mineiro/Alto Paranaíba,Araxá
ERVÁLIA,75.0,ERVÁLIA,12964,486.15,7.67,8.01,10.0,8.37,B,"Dentistas: 75 → score 7.67 | Votos PL/Nikolas: 12,964 → score 8.01 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ERVÁLIA,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Viçosa
CORINTO,69.0,CORINTO,14057,484.9665,7.5,8.18,10.0,8.36,B,"Dentistas: 69 → score 7.5 | Votos PL/Nikolas: 14,057 → score 8.18 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CORINTO,Central Mineira,Belo Horizonte,BH — Sede,Central Mineira,Curvelo
ÁGUAS FORMOSAS,87.0,ÁGUAS FORMOSAS,11142,484.677,7.93,7.58,10.0,8.32,B,"Dentistas: 87 → score 7.93 | Votos PL/Nikolas: 11,142 → score 7.58 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ÁGUAS FORMOSAS,Vale do Mucuri,Teófilo Otoni,Teófilo Otoni,Vale do Mucuri,Nanuque
SIMONÉSIA,80.0,SIMONÉSIA,12107,484.28,7.77,7.83,10.0,8.35,B,"Dentistas: 80 → score 7.77 | Votos PL/Nikolas: 12,107 → score 7.83 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",SIMONÉSIA,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Manhuaçu
DIVINO,82.0,DIVINO,11789,483.349,7.81,7.78,10.0,8.35,B,"Dentistas: 82 → score 7.81 | Votos PL/Nikolas: 11,789 → score 7.78 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",DIVINO,Zona da Mata,Juíz de Fora,Muriaé,Zona da Mata,Muriaé
FRANCISCO SÁ,67.0,FRANCISCO SÁ,14384,481.864,7.45,8.24,10.0,8.36,B,"Dentistas: 67 → score 7.45 | Votos PL/Nikolas: 14,384 → score 8.24 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",FRANCISCO SÁ,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Montes Claros
TOCANTINS,89.0,TOCANTINS,10782,479.799,8.05,7.52,10.0,8.35,B,"Dentistas: 89 → score 8.05 | Votos PL/Nikolas: 10,782 → score 7.52 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",TOCANTINS,Zona da Mata,Juíz de Fora,Muriaé,Zona da Mata,Ubá
CAMPANHA,98.0,CAMPANHA,9608,470.792,8.18,7.25,10.0,8.31,B,"Dentistas: 98 → score 8.18 | Votos PL/Nikolas: 9,608 → score 7.25 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CAMPANHA,Sul/Sudoeste de Minas,Varginha,Alfenas,Sul/Sudoeste de Minas,Varginha
LUZ,81.0,LUZ,10781,436.6305,7.79,7.51,10.0,8.24,B,"Dentistas: 81 → score 7.79 | Votos PL/Nikolas: 10,781 → score 7.51 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",LUZ,Central Mineira,Divinópolis,Divinópolis,Central Mineira,Bom Despacho
JEQUITINHONHA,70.0,JEQUITINHONHA,12417,434.595,7.53,7.92,10.0,8.28,B,"Dentistas: 70 → score 7.53 | Votos PL/Nikolas: 12,417 → score 7.92 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",JEQUITINHONHA,Jequitinhonha,Teófilo Otoni,Teófilo Otoni,Jequitinhonha,Almenara
MONTE SIÃO,59.0,MONTE SIÃO,14551,429.2545,7.15,8.29,10.0,8.26,B,"Dentistas: 59 → score 7.15 | Votos PL/Nikolas: 14,551 → score 8.29 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",MONTE SIÃO,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,Poços de Caldas
MEDINA,74.0,MEDINA,11552,427.424,7.62,7.7,10.0,8.24,B,"Dentistas: 74 → score 7.62 | Votos PL/Nikolas: 11,552 → score 7.7 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",MEDINA,Jequitinhonha,Teófilo Otoni,Teófilo Otoni,Jequitinhonha,Pedra Azul
CONCEIÇÃO DO MATO DENTRO,64.0,CONCEIÇÃO DO MATO DENTRO,13282,425.024,7.35,8.08,10.0,8.27,B,"Dentistas: 64 → score 7.35 | Votos PL/Nikolas: 13,282 → score 8.08 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CONCEIÇÃO DO MATO DENTRO,Metropolitana de Belo Horizonte,Belo Horizonte,BH — Sede,Metropolitana de Belo Horizonte,Conceição do Mato Dentro
BOM SUCESSO,71.0,BOM SUCESSO,11614,412.297,7.56,7.72,10.0,8.23,B,"Dentistas: 71 → score 7.56 | Votos PL/Nikolas: 11,614 → score 7.72 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",BOM SUCESSO,Oeste de Minas,Varginha,Alfenas,Oeste de Minas,Oliveira
ITANHANDU,83.0,ITANHANDU,9923,411.8045,7.83,7.33,10.0,8.2,B,"Dentistas: 83 → score 7.83 | Votos PL/Nikolas: 9,923 → score 7.33 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ITANHANDU,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,São Lourenço
MONTE SANTO DE MINAS,64.0,MONTE SANTO DE MINAS,12730,407.36,7.35,7.97,10.0,8.23,B,"Dentistas: 64 → score 7.35 | Votos PL/Nikolas: 12,730 → score 7.97 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",MONTE SANTO DE MINAS,Sul/Sudoeste de Minas,Varginha,Alfenas,Sul/Sudoeste de Minas,São Sebastião do Paraíso
NOVA RESENDE,77.0,NOVA RESENDE,10438,401.863,7.72,7.48,10.0,8.21,B,"Dentistas: 77 → score 7.72 | Votos PL/Nikolas: 10,438 → score 7.48 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",NOVA RESENDE,Sul/Sudoeste de Minas,Varginha,Alfenas,Sul/Sudoeste de Minas,São Sebastião do Paraíso
PASSA QUATRO,75.0,PASSA QUATRO,10635,398.8125,7.67,7.5,10.0,8.19,B,"Dentistas: 75 → score 7.67 | Votos PL/Nikolas: 10,635 → score 7.5 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",PASSA QUATRO,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,São Lourenço
ITAMONTE,84.0,ITAMONTE,9468,397.656,7.87,7.19,10.0,8.16,B,"Dentistas: 84 → score 7.87 | Votos PL/Nikolas: 9,468 → score 7.19 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ITAMONTE,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,São Lourenço
PERDÕES,58.0,PERDÕES,13678,396.662,7.09,8.09,10.0,8.17,B,"Dentistas: 58 → score 7.09 | Votos PL/Nikolas: 13,678 → score 8.09 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",PERDÕES,Oeste de Minas,Varginha,Alfenas,Oeste de Minas,Campo Belo
PADRE PARAÍSO,84.0,PADRE PARAÍSO,9330,391.86,7.87,7.15,10.0,8.15,B,"Dentistas: 84 → score 7.87 | Votos PL/Nikolas: 9,330 → score 7.15 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",PADRE PARAÍSO,Jequitinhonha,Teófilo Otoni,Teófilo Otoni,Jequitinhonha,Araçuaí
SÃO JOÃO EVANGELISTA,87.0,SÃO JOÃO EVANGELISTA,8988,390.978,7.93,7.06,10.0,8.14,B,"Dentistas: 87 → score 7.93 | Votos PL/Nikolas: 8,988 → score 7.06 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",SÃO JOÃO EVANGELISTA,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Guanhães
CRUZÍLIA,77.0,CRUZÍLIA,10056,387.156,7.72,7.39,10.0,8.17,B,"Dentistas: 77 → score 7.72 | Votos PL/Nikolas: 10,056 → score 7.39 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CRUZÍLIA,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,Andrelândia
CAMPESTRE,58.0,CAMPESTRE,13206,382.974,7.09,8.05,10.0,8.15,B,"Dentistas: 58 → score 7.09 | Votos PL/Nikolas: 13,206 → score 8.05 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CAMPESTRE,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,Poços de Caldas
LIMA DUARTE,68.0,LIMA DUARTE,11243,382.262,7.48,7.63,10.0,8.16,B,"Dentistas: 68 → score 7.48 | Votos PL/Nikolas: 11,243 → score 7.63 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",LIMA DUARTE,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Juiz de Fora
GUARANÉSIA,65.0,GUARANÉSIA,11757,382.1025,7.39,7.76,10.0,8.17,B,"Dentistas: 65 → score 7.39 | Votos PL/Nikolas: 11,757 → score 7.76 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",GUARANÉSIA,Sul/Sudoeste de Minas,Varginha,Alfenas,Sul/Sudoeste de Minas,São Sebastião do Paraíso
NOVA ERA,66.0,NOVA ERA,11496,379.368,7.42,7.69,10.0,8.16,B,"Dentistas: 66 → score 7.42 | Votos PL/Nikolas: 11,496 → score 7.69 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",NOVA ERA,Metropolitana de Belo Horizonte,Ipatinga,Ipatinga,Metropolitana de Belo Horizonte,Itabira
CÁSSIA,72.0,CÁSSIA,10457,376.452,7.59,7.49,10.0,8.16,B,"Dentistas: 72 → score 7.59 | Votos PL/Nikolas: 10,457 → score 7.49 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CÁSSIA,Sul/Sudoeste de Minas,Varginha,Alfenas,Sul/Sudoeste de Minas,Passos
VARZELÂNDIA,66.0,VARZELÂNDIA,11023,363.759,7.42,7.55,10.0,8.11,B,"Dentistas: 66 → score 7.42 | Votos PL/Nikolas: 11,023 → score 7.55 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",VARZELÂNDIA,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Montes Claros
BORDA DA MATA,70.0,BORDA DA MATA,10369,362.915,7.53,7.44,10.0,8.12,B,"Dentistas: 70 → score 7.53 | Votos PL/Nikolas: 10,369 → score 7.44 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",BORDA DA MATA,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,Pouso Alegre
ALTEROSA,75.0,ALTEROSA,9651,361.9125,7.67,7.29,10.0,8.12,B,"Dentistas: 75 → score 7.67 | Votos PL/Nikolas: 9,651 → score 7.29 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ALTEROSA,Sul/Sudoeste de Minas,Varginha,Alfenas,Sul/Sudoeste de Minas,Alfenas
MATIAS BARBOSA,75.0,MATIAS BARBOSA,9603,360.1125,7.67,7.24,10.0,8.1,B,"Dentistas: 75 → score 7.67 | Votos PL/Nikolas: 9,603 → score 7.24 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",MATIAS BARBOSA,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Juiz de Fora
MONTE ALEGRE DE MINAS,59.0,MONTE ALEGRE DE MINAS,11193,330.1935,7.15,7.59,10.0,8.02,B,"Dentistas: 59 → score 7.15 | Votos PL/Nikolas: 11,193 → score 7.59 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",MONTE ALEGRE DE MINAS,Triângulo Mineiro/Alto Paranaíba,Uberlândia,Uberlândia,Triângulo Mineiro/Alto Paranaíba,Uberlândia
ALVINÓPOLIS,63.0,ALVINÓPOLIS,10299,324.4185,7.31,7.42,10.0,8.02,B,"Dentistas: 63 → score 7.31 | Votos PL/Nikolas: 10,299 → score 7.42 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ALVINÓPOLIS,Metropolitana de Belo Horizonte,Juíz de Fora,Juiz de Fora,Metropolitana de Belo Horizonte,Itabira
ABRE CAMPO,70.0,ABRE CAMPO,9157,320.495,7.53,7.11,10.0,8.0,B,"Dentistas: 70 → score 7.53 | Votos PL/Nikolas: 9,157 → score 7.11 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ABRE CAMPO,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Manhuaçu
RESPLENDOR,70.0,RESPLENDOR,9066,317.31,7.53,7.09,10.0,7.99,B,"Dentistas: 70 → score 7.53 | Votos PL/Nikolas: 9,066 → score 7.09 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",RESPLENDOR,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Aimorés
SANTA MARGARIDA,60.0,SANTA MARGARIDA,10372,311.16,7.2,7.45,10.0,7.99,B,"Dentistas: 60 → score 7.2 | Votos PL/Nikolas: 10,372 → score 7.45 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",SANTA MARGARIDA,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Manhuaçu
ILICÍNEA,80.0,ILICÍNEA,7773,310.92,7.77,6.62,10.0,7.92,B,"Dentistas: 80 → score 7.77 | Votos PL/Nikolas: 7,773 → score 6.62 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ILICÍNEA,Sul/Sudoeste de Minas,Varginha,Alfenas,Sul/Sudoeste de Minas,Varginha
ITACARAMBI,66.0,ITACARAMBI,9368,309.144,7.42,7.16,10.0,7.97,B,"Dentistas: 66 → score 7.42 | Votos PL/Nikolas: 9,368 → score 7.16 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ITACARAMBI,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Januária
MALACACHETA,60.0,MALACACHETA,10299,308.97,7.2,7.42,10.0,7.98,B,"Dentistas: 60 → score 7.2 | Votos PL/Nikolas: 10,299 → score 7.42 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",MALACACHETA,Vale do Mucuri,Teófilo Otoni,Teófilo Otoni,Vale do Mucuri,Teófilo Otoni
ENTRE RIOS DE MINAS,61.0,ENTRE RIOS DE MINAS,10018,305.54900000000004,7.23,7.37,10.0,7.97,B,"Dentistas: 61 → score 7.23 | Votos PL/Nikolas: 10,018 → score 7.37 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ENTRE RIOS DE MINAS,Metropolitana de Belo Horizonte,Barbacena,Juiz de Fora,Metropolitana de Belo Horizonte,Conselheiro Lafaiete
CANDEIAS,64.0,CANDEIAS,9310,297.92,7.35,7.13,10.0,7.94,B,"Dentistas: 64 → score 7.35 | Votos PL/Nikolas: 9,310 → score 7.13 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CANDEIAS,Oeste de Minas,Varginha,Alfenas,Oeste de Minas,Campo Belo
SÃO DOMINGOS DO PRATA,54.0,SÃO DOMINGOS DO PRATA,11030,297.81,6.93,7.56,10.0,7.92,B,"Dentistas: 54 → score 6.93 | Votos PL/Nikolas: 11,030 → score 7.56 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",SÃO DOMINGOS DO PRATA,Metropolitana de Belo Horizonte,Ipatinga,Ipatinga,Metropolitana de Belo Horizonte,Itabira
PERDIZES,58.0,PERDIZES,10054,291.56600000000003,7.09,7.38,10.0,7.92,B,"Dentistas: 58 → score 7.09 | Votos PL/Nikolas: 10,054 → score 7.38 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",PERDIZES,Triângulo Mineiro/Alto Paranaíba,Uberaba,Uberaba,Triângulo Mineiro/Alto Paranaíba,Araxá
TARUMIRIM,77.0,TARUMIRIM,7508,289.058,7.72,6.45,10.0,7.85,B,"Dentistas: 77 → score 7.72 | Votos PL/Nikolas: 7,508 → score 6.45 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",TARUMIRIM,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Caratinga
IPABA,57.0,IPABA,10071,287.0235,7.03,7.41,10.0,7.91,B,"Dentistas: 57 → score 7.03 | Votos PL/Nikolas: 10,071 → score 7.41 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",IPABA,Vale do Rio Doce,Ipatinga,Ipatinga,Vale do Rio Doce,Caratinga
ITAÚ DE MINAS,61.0,ITAÚ DE MINAS,9408,286.944,7.23,7.17,10.0,7.9,B,"Dentistas: 61 → score 7.23 | Votos PL/Nikolas: 9,408 → score 7.17 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ITAÚ DE MINAS,Sul/Sudoeste de Minas,Varginha,Alfenas,Sul/Sudoeste de Minas,Passos
BICAS,64.0,BICAS,8951,286.432,7.35,7.03,10.0,7.9,B,"Dentistas: 64 → score 7.35 | Votos PL/Nikolas: 8,951 → score 7.03 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",BICAS,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Juiz de Fora
CARLOS CHAGAS,51.0,CARLOS CHAGAS,11211,285.8805,6.83,7.61,10.0,7.9,B,"Dentistas: 51 → score 6.83 | Votos PL/Nikolas: 11,211 → score 7.61 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CARLOS CHAGAS,Vale do Mucuri,Teófilo Otoni,Teófilo Otoni,Vale do Mucuri,Nanuque
CONCEIÇÃO DO RIO VERDE,71.0,CONCEIÇÃO DO RIO VERDE,7982,283.361,7.56,6.75,10.0,7.89,B,"Dentistas: 71 → score 7.56 | Votos PL/Nikolas: 7,982 → score 6.75 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CONCEIÇÃO DO RIO VERDE,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,São Lourenço
ASTOLFO DUTRA,63.0,ASTOLFO DUTRA,8700,274.04999999999995,7.31,6.99,10.0,7.87,B,"Dentistas: 63 → score 7.31 | Votos PL/Nikolas: 8,700 → score 6.99 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ASTOLFO DUTRA,Zona da Mata,Juíz de Fora,Muriaé,Zona da Mata,Ubá
ITAGUARA,62.0,ITAGUARA,8827,273.637,7.27,7.0,10.0,7.86,B,"Dentistas: 62 → score 7.27 | Votos PL/Nikolas: 8,827 → score 7.0 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ITAGUARA,Metropolitana de Belo Horizonte,Divinópolis,Divinópolis,Metropolitana de Belo Horizonte,Itaguara
AREADO,59.0,AREADO,9206,271.577,7.15,7.12,10.0,7.85,B,"Dentistas: 59 → score 7.15 | Votos PL/Nikolas: 9,206 → score 7.12 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",AREADO,Sul/Sudoeste de Minas,Varginha,Alfenas,Sul/Sudoeste de Minas,Alfenas
PAPAGAIOS,56.0,PAPAGAIOS,9613,269.164,6.99,7.26,10.0,7.84,B,"Dentistas: 56 → score 6.99 | Votos PL/Nikolas: 9,613 → score 7.26 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",PAPAGAIOS,Metropolitana de Belo Horizonte,Divinópolis,Divinópolis,Metropolitana de Belo Horizonte,Sete Lagoas
SÃO JOÃO DO MANHUAÇU,73.0,SÃO JOÃO DO MANHUAÇU,7293,266.1945,7.61,6.36,10.0,7.77,B,"Dentistas: 73 → score 7.61 | Votos PL/Nikolas: 7,293 → score 6.36 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",SÃO JOÃO DO MANHUAÇU,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Manhuaçu
JABOTICATUBAS,44.0,JABOTICATUBAS,11936,262.592,6.48,7.79,2.0,5.82,B,"Dentistas: 44 → score 6.48 | Votos PL/Nikolas: 11,936 → score 7.79 | ROI: município pequeno → score 2.0",JABOTICATUBAS,Metropolitana de Belo Horizonte,Belo Horizonte,BH — Sede,Metropolitana de Belo Horizonte,Sete Lagoas
CARMO DE MINAS,66.0,CARMO DE MINAS,7859,259.347,7.42,6.65,10.0,7.8,B,"Dentistas: 66 → score 7.42 | Votos PL/Nikolas: 7,859 → score 6.65 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",CARMO DE MINAS,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,São Lourenço
ITANHOMI,75.0,ITANHOMI,6833,256.2375,7.67,6.18,10.0,7.73,B,"Dentistas: 75 → score 7.67 | Votos PL/Nikolas: 6,833 → score 6.18 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",ITANHOMI,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Governador Valadares
SANTO ANTÔNIO DO AMPARO,46.0,SANTO ANTÔNIO DO AMPARO,11123,255.829,6.61,7.57,2.0,5.79,B,"Dentistas: 46 → score 6.61 | Votos PL/Nikolas: 11,123 → score 7.57 | ROI: município pequeno → score 2.0",SANTO ANTÔNIO DO AMPARO,Oeste de Minas,Varginha,Alfenas,Oeste de Minas,Oliveira
GUAPÉ,60.0,GUAPÉ,8306,249.18,7.2,6.83,10.0,7.77,B,"Dentistas: 60 → score 7.2 | Votos PL/Nikolas: 8,306 → score 6.83 | ROI: tamanho ideal (melhor custo-benefício) → score 10.0",GUAPÉ,Sul/Sudoeste de Minas,Varginha,Alfenas,Sul/Sudoeste de Minas,Varginha
