CIDADE,QTD,NM_MUNICIPIO,QT_VOTOS,SCORE_OPORTUNIDADE,SCORE_DENTISTAS,SCORE_VOTOS_PL,SCORE_ROI,SCORE_FINAL,TIER,EXPLICACAO,CIDADE_NORM,mesorregiao-nome_x,regiao-intermediaria-nome,DELEGACIA_CRO,mesorregiao-nome_y,microrregiao-nome
REDUTO,20.0,REDUTO,4486,44.86,3.59,4.15,2.0,3.39,C,"Dentistas: 20 → score 3.59 | Votos PL/Nikolas: 4,486 → score 4.15 | ROI: município pequeno → score 2.0",REDUTO,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Manhuaçu
IMBÉ DE MINAS,21.0,IMBÉ DE MINAS,4254,44.667,3.84,3.87,2.0,3.39,C,"Dentistas: 21 → score 3.84 | Votos PL/Nikolas: 4,254 → score 3.87 | ROI: município pequeno → score 2.0",IMBÉ DE MINAS,Vale do Rio Doce,Ipatinga,Ipatinga,Vale do Rio Doce,Caratinga
JACUÍ,19.0,JACUÍ,4699,44.6405,3.34,4.47,2.0,3.4,C,"Dentistas: 19 → score 3.34 | Votos PL/Nikolas: 4,699 → score 4.47 | ROI: município pequeno → score 2.0",JACUÍ,Sul/Sudoeste de Minas,Varginha,Alfenas,Sul/Sudoeste de Minas,São Sebastião do Paraíso
COMERCINHO,19.0,COMERCINHO,4683,44.4885,3.34,4.45,2.0,3.39,C,"Dentistas: 19 → score 3.34 | Votos PL/Nikolas: 4,683 → score 4.45 | ROI: município pequeno → score 2.0",COMERCINHO,Jequitinhonha,Teófilo Otoni,Teófilo Otoni,Jequitinhonha,Pedra Azul
DONA EUSÉBIA,19.0,DONA EUSÉBIA,4682,44.479000000000006,3.34,4.43,2.0,3.39,C,"Dentistas: 19 → score 3.34 | Votos PL/Nikolas: 4,682 → score 4.43 | ROI: município pequeno → score 2.0",DONA EUSÉBIA,,,Não mapeado,,
SÃO FRANCISCO DO GLÓRIA,26.0,SÃO FRANCISCO DO GLÓRIA,3398,44.174,4.68,2.59,2.0,3.28,C,"Dentistas: 26 → score 4.68 | Votos PL/Nikolas: 3,398 → score 2.59 | ROI: município pequeno → score 2.0",SÃO FRANCISCO DO GLÓRIA,Zona da Mata,Juíz de Fora,Muriaé,Zona da Mata,Muriaé
CENTRAL DE MINAS,21.0,CENTRAL DE MINAS,4200,44.1,3.84,3.74,2.0,3.34,C,"Dentistas: 21 → score 3.84 | Votos PL/Nikolas: 4,200 → score 3.74 | ROI: município pequeno → score 2.0",CENTRAL DE MINAS,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Mantena
FELÍCIO DOS SANTOS,26.0,FELÍCIO DOS SANTOS,3337,43.381,4.68,2.52,2.0,3.25,C,"Dentistas: 26 → score 4.68 | Votos PL/Nikolas: 3,337 → score 2.52 | ROI: município pequeno → score 2.0",FELÍCIO DOS SANTOS,Jequitinhonha,Teófilo Otoni,Teófilo Otoni,Jequitinhonha,Diamantina
CIPOTÂNEA,22.0,CIPOTÂNEA,3931,43.241,4.03,3.44,2.0,3.32,C,"Dentistas: 22 → score 4.03 | Votos PL/Nikolas: 3,931 → score 3.44 | ROI: município pequeno → score 2.0",CIPOTÂNEA,Zona da Mata,Barbacena,Juiz de Fora,Zona da Mata,Viçosa
VARGEM ALEGRE,20.0,VARGEM ALEGRE,4321,43.21,3.59,3.96,2.0,3.32,C,"Dentistas: 20 → score 3.59 | Votos PL/Nikolas: 4,321 → score 3.96 | ROI: município pequeno → score 2.0",VARGEM ALEGRE,Vale do Rio Doce,Ipatinga,Ipatinga,Vale do Rio Doce,Caratinga
SANTO ANTÔNIO DO RETIRO,19.0,SANTO ANTÔNIO DO RETIRO,4547,43.1965,3.34,4.23,2.0,3.32,C,"Dentistas: 19 → score 3.34 | Votos PL/Nikolas: 4,547 → score 4.23 | ROI: município pequeno → score 2.0",SANTO ANTÔNIO DO RETIRO,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Salinas
TIRADENTES,15.0,TIRADENTES,5681,42.6075,2.52,5.4,2.0,3.4,C,"Dentistas: 15 → score 2.52 | Votos PL/Nikolas: 5,681 → score 5.4 | ROI: município pequeno → score 2.0",TIRADENTES,Campo das Vertentes,Barbacena,Juiz de Fora,Campo das Vertentes,São João Del Rei
ALVARENGA,25.0,ALVARENGA,3406,42.575,4.46,2.61,2.0,3.2,C,"Dentistas: 25 → score 4.46 | Votos PL/Nikolas: 3,406 → score 2.61 | ROI: município pequeno → score 2.0",ALVARENGA,Vale do Rio Doce,Ipatinga,Ipatinga,Vale do Rio Doce,Aimorés
RIACHO DOS MACHADOS,15.0,RIACHO DOS MACHADOS,5674,42.555,2.52,5.38,2.0,3.39,C,"Dentistas: 15 → score 2.52 | Votos PL/Nikolas: 5,674 → score 5.38 | ROI: município pequeno → score 2.0",RIACHO DOS MACHADOS,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Janaúba
RIO ESPERA,20.0,RIO ESPERA,4240,42.400000000000006,3.59,3.84,2.0,3.28,C,"Dentistas: 20 → score 3.59 | Votos PL/Nikolas: 4,240 → score 3.84 | ROI: município pequeno → score 2.0",RIO ESPERA,Zona da Mata,Barbacena,Juiz de Fora,Zona da Mata,Viçosa
SANTANA DO JACARÉ,27.0,SANTANA DO JACARÉ,3134,42.309,4.82,2.21,2.0,3.2,C,"Dentistas: 27 → score 4.82 | Votos PL/Nikolas: 3,134 → score 2.21 | ROI: município pequeno → score 2.0",SANTANA DO JACARÉ,Oeste de Minas,Varginha,Alfenas,Oeste de Minas,Campo Belo
SOLEDADE DE MINAS,21.0,SOLEDADE DE MINAS,4009,42.0945,3.84,3.53,2.0,3.27,C,"Dentistas: 21 → score 3.84 | Votos PL/Nikolas: 4,009 → score 3.53 | ROI: município pequeno → score 2.0",SOLEDADE DE MINAS,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,São Lourenço
ITAVERAVA,18.0,ITAVERAVA,4658,41.922,3.11,4.41,2.0,3.29,C,"Dentistas: 18 → score 3.11 | Votos PL/Nikolas: 4,658 → score 4.41 | ROI: município pequeno → score 2.0",ITAVERAVA,Metropolitana de Belo Horizonte,Barbacena,Juiz de Fora,Metropolitana de Belo Horizonte,Conselheiro Lafaiete
SÃO THOMÉ DAS LETRAS,21.0,SÃO THOMÉ DAS LETRAS,3989,41.8845,3.84,3.5,2.0,3.26,C,"Dentistas: 21 → score 3.84 | Votos PL/Nikolas: 3,989 → score 3.5 | ROI: município pequeno → score 2.0",SÃO THOMÉ DAS LETRAS,,,Não mapeado,,
AMPARO DO SERRA,23.0,AMPARO DO SERRA,3634,41.791,4.14,2.92,2.0,3.18,C,"Dentistas: 23 → score 4.14 | Votos PL/Nikolas: 3,634 → score 2.92 | ROI: município pequeno → score 2.0",AMPARO DO SERRA,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Viçosa
PERIQUITO,18.0,PERIQUITO,4610,41.49,3.11,4.34,2.0,3.26,C,"Dentistas: 18 → score 3.11 | Votos PL/Nikolas: 4,610 → score 4.34 | ROI: município pequeno → score 2.0",PERIQUITO,Vale do Rio Doce,Ipatinga,Ipatinga,Vale do Rio Doce,Ipatinga
SANTA RITA DE JACUTINGA,24.0,SANTA RITA DE JACUTINGA,3446,41.352,4.27,2.63,2.0,3.13,C,"Dentistas: 24 → score 4.27 | Votos PL/Nikolas: 3,446 → score 2.63 | ROI: município pequeno → score 2.0",SANTA RITA DE JACUTINGA,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Juiz de Fora
SOBRÁLIA,26.0,SOBRÁLIA,3177,41.301,4.68,2.29,2.0,3.17,C,"Dentistas: 26 → score 4.68 | Votos PL/Nikolas: 3,177 → score 2.29 | ROI: município pequeno → score 2.0",SOBRÁLIA,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Governador Valadares
SAPUCAÍ-MIRIM,19.0,SAPUCAÍ-MIRIM,4318,41.021,3.34,3.94,2.0,3.22,C,"Dentistas: 19 → score 3.34 | Votos PL/Nikolas: 4,318 → score 3.94 | ROI: município pequeno → score 2.0",SAPUCAÍ-MIRIM,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,Pouso Alegre
INCONFIDENTES,16.0,INCONFIDENTES,5117,40.936,2.74,4.88,2.0,3.3,C,"Dentistas: 16 → score 2.74 | Votos PL/Nikolas: 5,117 → score 4.88 | ROI: município pequeno → score 2.0",INCONFIDENTES,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,Poços de Caldas
FREI GASPAR,21.0,FREI GASPAR,3897,40.9185,3.84,3.41,2.0,3.23,C,"Dentistas: 21 → score 3.84 | Votos PL/Nikolas: 3,897 → score 3.41 | ROI: município pequeno → score 2.0",FREI GASPAR,Vale do Mucuri,Teófilo Otoni,Teófilo Otoni,Vale do Mucuri,Teófilo Otoni
MATIAS CARDOSO,16.0,MATIAS CARDOSO,5107,40.856,2.74,4.85,2.0,3.29,C,"Dentistas: 16 → score 2.74 | Votos PL/Nikolas: 5,107 → score 4.85 | ROI: município pequeno → score 2.0",MATIAS CARDOSO,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Januária
PEDRA BONITA,17.0,PEDRA BONITA,4806,40.851,2.91,4.54,2.0,3.25,C,"Dentistas: 17 → score 2.91 | Votos PL/Nikolas: 4,806 → score 4.54 | ROI: município pequeno → score 2.0",PEDRA BONITA,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Manhuaçu
TUMIRITINGA,21.0,TUMIRITINGA,3856,40.488,3.84,3.33,2.0,3.2,C,"Dentistas: 21 → score 3.84 | Votos PL/Nikolas: 3,856 → score 3.33 | ROI: município pequeno → score 2.0",TUMIRITINGA,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Governador Valadares
NOVA UNIÃO,19.0,NOVA UNIÃO,4261,40.4795,3.34,3.88,2.0,3.19,C,"Dentistas: 19 → score 3.34 | Votos PL/Nikolas: 4,261 → score 3.88 | ROI: município pequeno → score 2.0",NOVA UNIÃO,Metropolitana de Belo Horizonte,Belo Horizonte,BH — Sede,Metropolitana de Belo Horizonte,Itabira
SÃO GONÇALO DO ABAETÉ,20.0,SÃO GONÇALO DO ABAETÉ,4019,40.19,3.59,3.55,2.0,3.18,C,"Dentistas: 20 → score 3.59 | Votos PL/Nikolas: 4,019 → score 3.55 | ROI: município pequeno → score 2.0",SÃO GONÇALO DO ABAETÉ,Noroeste de Minas,Patos de Minas,Patos de Minas,Noroeste de Minas,Paracatu
MESQUITA,21.0,MESQUITA,3826,40.173,3.84,3.24,2.0,3.17,C,"Dentistas: 21 → score 3.84 | Votos PL/Nikolas: 3,826 → score 3.24 | ROI: município pequeno → score 2.0",MESQUITA,Vale do Rio Doce,Ipatinga,Ipatinga,Vale do Rio Doce,Ipatinga
CAREAÇU,20.0,CAREAÇU,4016,40.16,3.59,3.54,2.0,3.18,C,"Dentistas: 20 → score 3.59 | Votos PL/Nikolas: 4,016 → score 3.54 | ROI: município pequeno → score 2.0",CAREAÇU,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,Santa Rita do Sapucaí
